species	wikipedia	calflora	min_height	max_height
liriodendron tulipifera	http://en.wikipedia.org/wiki/Liriodendron_tulipifera	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9361	21	30
lycianthus rantonnetii	http://en.wikipedia.org/wiki/Lycianthes_rantonnetii	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9153	1	2
lyonothamnus floribundus asplenifolius	http://en.wikipedia.org/wiki/Lyonothamnus	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8961	15	15
magnolia grandiflora	http://en.wikipedia.org/wiki/Magnolia_grandiflora	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9363	5	27
malus sylvestris	http://en.wikipedia.org/wiki/Malus_sylvestris	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=10099	2	3
maytenus boaria	http://en.wikipedia.org/wiki/Maytenus_boaria	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8519	20	20
melaleuca nesophila	http://en.wikipedia.org/wiki/Melaleuca_nesophila	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9432	5	6
metrosideros excelsus	http://en.wikipedia.org/wiki/Metrosideros_excelsus	NULL	25	25
morus alba	http://en.wikipedia.org/wiki/Morus_alba	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=5691	10	20
myoporum laetum	http://en.wikipedia.org/wiki/Myoporum_laetum	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=5720	10	10
nerium oleander	http://en.wikipedia.org/wiki/Nerium_oleander	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8462	2	6
nyssa sylvatica	http://en.wikipedia.org/wiki/Nyssa_sylvatica	NULL	20	25
olea europaea	http://en.wikipedia.org/wiki/Olea_europaea	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=5912	4	15
persea americana	http://en.wikipedia.org/wiki/Persea_americana	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9376	5	20
persea indica	http://en.wikipedia.org/wiki/Persea_indica	NULL	5	10
phoenix canariensis	http://en.wikipedia.org/wiki/Phoenix_canariensis	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6449	10	20
picea pungens	http://en.wikipedia.org/wiki/Picea_pungens	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9379	25	30
pinus halepensis	http://en.wikipedia.org/wiki/Pinus_halepensis	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8668	15	25
pinus pinea	http://en.wikipedia.org/wiki/Pinus_pinea	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8669	12	20
pinus radiata	http://en.wikipedia.org/wiki/Pinus_radiata	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6523	15	30
pinus spp	http://en.wikipedia.org/wiki/Pine	NULL	15	45
pistacia chinensis	http://en.wikipedia.org/wiki/Pistacia_chinensis	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6542	10	10
pittosporum crassifolium	http://en.wikipedia.org/wiki/Pittosporum_crassifolium	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6545	1	5
pittosporum tobira	http://en.wikipedia.org/wiki/Pittosporum_tobira	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6547	2	2
pittosporum undulatum	http://en.wikipedia.org/wiki/Pittosporum_undulatum	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6548	3	15
pittosporum viridiflorum	http://en.wikipedia.org/wiki/Pittosporum	NULL	3	15
platanus acerifolia	http://en.wikipedia.org/wiki/Platanus_%C3%97_acerifolia	NULL	20	35
podocarpus gracilior	http://en.wikipedia.org/wiki/Podocarpus_gracilior	NULL	20	40
prunus armeniaca	http://en.wikipedia.org/wiki/Prunus_armeniaca	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9203	8	12
prunus avium	http://en.wikipedia.org/wiki/Prunus_avium	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9204	15	32
prunus caroliniana	http://en.wikipedia.org/wiki/Prunus_caroliniana	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9205	8	13
prunus cerasifera	http://en.wikipedia.org/wiki/Prunus_cerasifera	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6887	6	15
prunus domestica	http://en.wikipedia.org/wiki/Prunus_domestica	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=10269	4	10
prunus dulcis	http://en.wikipedia.org/wiki/Almond	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6888	4	10
prunus ilicifolia	http://en.wikipedia.org/wiki/Prunus_ilicifolia	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6894	2	9
prunus lyonii	http://en.wikipedia.org/wiki/Cherry	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6896	4	10
prunus persica	http://en.wikipedia.org/wiki/Prunus_persica	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8724	4	10
prunus serrulata	http://en.wikipedia.org/wiki/Prunus_serrulata	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8725	8	12
pyrus calleryana	http://en.wikipedia.org/wiki/Pyrus_calleryana	NULL	10	20
pyrus kawakamii	NULL	NULL	10	20
quercus agrifolia	http://en.wikipedia.org/wiki/Quercus_agrifolia	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=6983	10	25
quercus coccinea	http://en.wikipedia.org/wiki/Quercus_coccinea	NULL	20	30
quercus ilex	http://en.wikipedia.org/wiki/Quercus_ilex	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8591	20	27
quercus lobata	http://en.wikipedia.org/wiki/Quercus_lobata	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=7001	3	30
quercus rubra	http://en.wikipedia.org/wiki/Quercus_rubra	NULL	5	28
quillaja saponaria	http://en.wikipedia.org/wiki/Quillaja_saponaria	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=13010	15	20
rhamnus alaternus	http://en.wikipedia.org/wiki/Rhamnus_alaternus	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9447	1	5
robinia ambigua	http://en.wikipedia.org/wiki/Robinia	NULL	4	25
robinia pseudoacacia	http://en.wikipedia.org/wiki/Robinia_pseudoacacia	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=7156	12	18
sambucus caerulea	http://en.wikipedia.org/wiki/Sambucus_cerulea	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=10348	2	9
sapium sebiferum	http://en.wikipedia.org/wiki/Sapium_sebiferum	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=12096	10	18
schinus molle	http://en.wikipedia.org/wiki/Schinus_molle	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=7378	4	15
schinus terebinthifolius	http://en.wikipedia.org/wiki/Schinus_terebinthifolius	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=7379	7	10
sequoia sempervirens	http://en.wikipedia.org/wiki/Sequoia_sempervirens	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=7531	10	60
sophora japonica	http://en.wikipedia.org/wiki/Sophora_japonica	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9433	10	20
tilia cordata	http://en.wikipedia.org/wiki/Tilia_cordata	NULL	20	38
tilia tomentosa	http://en.wikipedia.org/wiki/Tilia_tomentosa	NULL	20	35
tristania conferta	http://en.wikipedia.org/wiki/Lophostemon_confertus	NULL	10	18
tristania laurina	http://en.wikipedia.org/wiki/Tristaniopsis_laurina	NULL	5	9
ulmus	http://en.wikipedia.org/wiki/Ulmus	NULL	10	18
ulmus americana	http://en.wikipedia.org/wiki/Ulmus_americana	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9449	10	30
ulmus parvifolia	http://en.wikipedia.org/wiki/Ulmus_parvifolia	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8181	10	18
unknown	NULL	NULL	15	25
vacant site	NULL	NULL	15	25
various spp	NULL	NULL	15	25
washingtonia filifera	http://en.wikipedia.org/wiki/Washingtonia_filifera	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=8336	18	18
washingtonia robusta	http://en.wikipedia.org/wiki/Washingtonia_robusta	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9271	25	25
xylosma congestum	http://en.wikipedia.org/wiki/Xylosma	http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=9435	1	2
yucca gloriosa	http://en.wikipedia.org/wiki/Yucca_gloriosa	NULL	1	2
zelkova serrata	http://en.wikipedia.org/wiki/Zelkova_serrata	NULL	15	30
